以下是第六章的漫画改编层，逐句分解，每句一格。

```
格号|角色/narration|台词或旁白文字|情绪|审核类型|场景关键词
1|narration|接下来的三天，祁思远活在一种恍惚的状态里。|疲惫、恍惚|scene|办公室/日常/时间流逝
2|narration|他依然去上班，依然处理单据，依然和同事说话。|麻木、机械|scene|办公室/日常/重复
3|narration|但他知道，有一双眼睛——或者不止一双——正在看着他。|不安、警觉|character|办公室/被窥视/恐惧
4|narration|张明远每天坐在那个角落里。|压抑、陈述|character|办公室角落/张明远/日常
5|narration|只有祁思远能看见他。|诡异、孤独|supernatural|办公室/可见性/超自然
6|narration|有时他在打字，有时他在吃便当，有时他就那么坐着，一动不动地盯着祁思远的后背。|毛骨悚然、被监视|supernatural|办公室/张明远/注视/日常与诡异交织
7|narration|祁思远试过换座位，试过不往那边看，试过告诉自己那只是幻觉。|焦虑、徒劳、自我否认|character|办公室/逃避/心理挣扎
8|narration|但每次他抬起头，总能看到那张脸。|绝望、无力|supernatural|办公室/张明远的脸/无可逃避
9|narration|惨白的，平静的，带着那种意味深长的微笑。|毛骨悚然、诡异|supernatural|张明远的脸/惨白/微笑/恐怖
10|narration|他开始失眠。|疲惫、崩溃预兆|character|出租屋/夜晚/失眠
11|narration|他开始在午夜的出租屋里惊醒，感觉有什么东西在黑暗中窥视着他。|恐惧、惊悚|supernatural|出租屋/午夜/惊醒/被窥视
12|narration|他打开所有的灯，检查每一个角落，什么都没有。|焦虑、徒劳|scene|出租屋/灯光/空无一人/检查
13|narration|但只要他闭上眼，那种被注视的感觉就会再次涌来。|崩溃、被侵蚀|supernatural|出租屋/闭眼/注视感/心理恐惧
14|narration|第四天深夜，他下班回家。|疲惫、日常|scene|深夜/下班/街景
15|narration|公司在城东，他租的房子在城西，要穿过一片老旧的小区，再经过一条没有路灯的小巷。|孤独、铺垫|scene|城市/城东城西/老旧小区/小巷/夜路
16|narration|那条巷子他走过无数次，从来没有出过事。|日常、暗示反常|scene|小巷/熟悉/安全记忆
17|narration|但那晚不一样。|紧张、不安预感|scene|小巷/夜晚/转折
18|narration|他走进巷子的时候，路灯突然全部熄灭了。|惊骇、突发|supernatural|小巷/路灯熄灭/黑暗降临
19|narration|不是一盏一盏灭，是同时灭。|惊恐、不寻常|supernatural|路灯/同时熄灭/超自然
20|narration|整条巷子陷入彻底的黑暗，伸手不见五指的黑暗。|恐惧、压抑|scene|小巷/彻底黑暗/伸手不见五指
21|narration|祁思远停住脚步，不敢再往前走。|恐惧、僵硬|character|小巷/止步/恐惧
22|narration|那股熟悉的硫磺味出现了。|警觉、恐惧|supernatural|硫磺味/巷子/超自然气息
23|narration|浓烈得让人窒息。|窒息感、压迫|supernatural|硫磺味/浓烈/窒息
24|narration|黑暗中，一个身影从巷子深处走来。|恐惧、紧张注视|supernatural|黑暗/身影/巷子深处/走来
25|narration|脚步很轻，但在这死一般的寂静里，每一声都像踩在祁思远的心脏上。|极度压迫、心脏骤紧|supernatural|脚步声/寂静/心脏压迫/恐惧
26|narration|是张明远。|惊骇、确认恐惧|supernatural|张明远/现身/巷子
27|narration|他走得很慢，很稳。|毛骨悚然、从容的恐怖|supernatural|张明远/缓慢步伐/淡定
28|narration|走近了，祁思远才看清他的样子——不再是白天那个安静的实习生，他的皮肤正在融化。|惊骇、视觉冲击|supernatural|张明远/皮肤融化/恐怖变形/近景
29|narration|像蜡烛一样，从脸上流下来，露出下面的东西。|恶心、恐怖|supernatural|皮肤/蜡融/脸皮/露出底下
30|narration|黑色的、涌动的符文。|震撼、超自然恐怖|supernatural|黑色符文/涌动/脸皮底下
31|narration|密密麻麻，像无数条虫子在他脸皮底下蠕动。|密集恐惧、恶心|supernatural|符文/虫子般蠕动/脸皮底下
32|narration|那双眼睛已经完全变成了两个黑洞，里面有什么东西在燃烧。|恐怖、灵魂震撼|supernatural|眼睛/黑洞/燃烧/怪物面目
33|清道夫/张明远|“你能看见我。”那个声音不再是白天那种温吞的语调，而是尖锐的、带着重叠回音的、让人牙酸的金属摩擦声，“那个死掉的废物，居然给你留下了这么完整的视觉回路。真是……意外之喜。”|狰狞、金属摩擦声、威胁|supernatural|清道夫/台词/视觉回路/金属声/对话
34|narration|祁思远退无可退，后背抵住了巷子的墙壁。|绝望、逼入绝境|character|祁思远/背靠墙壁/绝路
35|祁思远|“你是谁？你是什么东西？”|恐惧喘息、质问|character|祁思远/质问/对话
