我将第八章《佘山之门》逐句转为漫画改编层。按规则每句=1格，不合并。

---

```
格号|角色|台词或旁白文字|情绪|审核类型|场景关键词
1|narration|辞职手续办得比祁思远预想的要安静。|平静|scene|办公室/辞职场景
2|周姐|周姐从OA系统里点下"通过"的时候，抬头看了他一眼。|平静/审视|character|OA系统/周姐抬头
3|narration|那一眼里有一种老练职场人特有的分寸——不问原因，不挽留，但也不完全冷漠。|洞察|character|分寸感/职场
4|周姐|她把离职证明从打印机里抽出来，用指甲沿着折痕压了一道，递给他。|沉稳/细腻|hand|离职证明/打印机/折痕
5|周姐|"找到下家了？"|试探/关心|character|周姐问话
6|祁思远|"算是吧。"祁思远接过那张纸，不敢看她的眼睛。|心虚/回避|character|低头接纸/不敢对视
7|周姐|"那就好。你才来几个月，年假和补贴都按天折算。财务那边我打过招呼了，最迟下周三到账。"|体恤/务实|character|周姐嘱咐/财务
8|祁思远|"谢谢周姐。"|感激/内敛|character|道谢
9|narration|他转身的时候，林小燕从工位隔板后面探出头来。|轻微突兀|character|隔板/探头
10|narration|她的表情比周姐复杂——不像惋惜，也不像担忧，更像是一个直觉敏锐的人捕捉到了某种不对劲的气味，却找不到对应的词汇。|复杂/警觉|character|林小燕表情/直觉
11|林小燕|"祁哥，你还会回来吗？"|不安/试探|character|林小燕问话
12|祁思远|祁思远停了一下。他本来想说"会"，但这个字在舌尖上滚了一圈，变成一个模糊的弧度："看情况吧。"|犹豫/含糊|character|停顿/模糊回答
13|narration|林小燕没有再问。|沉默/克制|character|沉默
14|narration|她只是看着他的背影穿过运营部那排灰扑扑的日光灯管，消失在消防通道的转角。|凝视/失落|scene|日光灯管/消防通道/背影
15|narration|那一刻祁思远意识到一件事：他曾经拼了命想抓住的"正常生活"，正在被他自己一根一根地剪断。|顿悟/沉重|abstract|剪断正常生活
16|narration|就像他剪断过的那些命运线一样——只不过这一次，被剪断的是他自己。|沉重/自喻|supernatural|命运线/剪断自我
17|narration|接下来的一周，他把二十五年的人生装进一个双肩包。|决绝/压缩|scene|双肩包/人生打包
18|narration|出租屋退租。押金不要了。|冷漠/断舍离|scene|退租
19|narration|银行卡里的余额取出来，一半换成现金塞进背包夹层，另一半留给了在老家的母亲——他编了一套"要去外地长期出差"的说辞，声音平稳得让自己都觉得陌生。|疏离/伪装|scene|现金/母亲/电话说谎
20|narration|手机拆掉SIM卡，和笔记本电脑一起扔进了苏州河。|断绝/仪式感|hand|SIM卡/笔记本电脑/苏州河
21|narration|身份证夹在一本旧书里，塞进了上海图书馆三楼某个角落的书架间隙。|隐匿/消失|hand|旧书/身份证/图书馆书架
22|narration|每完成一项，他就感到自己在这个世界上的重量轻了一分。|解脱/虚无|abstract|重量减轻
23|narration|最后一天下午，他沿着苏州河走了很久。|徘徊/告别|scene|苏州河/下午
24|narration|十一月的上海，梧桐叶已经落了大半，剩下那些枯黄的挂在枝头，被风吹出干燥的摩擦声。|苍凉/秋意|scene|梧桐落叶/风吹枯叶
25|narration|下班时间，人行道上人群来来往往，每个人都在看手机，每个人都在赶往某个地方——回家，约会，接孩子，加班。|喧嚣/疏离|scene|下班人群/手机/匆忙
26|narration|他们不知道自己头顶的命运线在祁思远的视觉回路里是什么样子：有的粗壮如缆绳，有的细如蛛丝，有的末端已经开始暗淡，像一根即将燃尽的灯芯。|俯瞰/悲悯|supernatural|命运线/视觉回路/缆绳/蛛丝/灯芯
27|narration|这些人不知道"生存口粮"这个词。|冷峻|abstract|生存口粮
28|narration|不知道自己的每一次呼吸都在消耗一份宇宙分配的配额。|沉重|supernatural|呼吸/宇宙配额
29|narration|不知道有人——或者说，有东西——正在另一个时空用算力推演他们的死亡节点。|毛骨悚然|supernatural|异时空/算力/死亡节点
30|narration|祁思远站在河边，忽然觉得自己像一个已经死掉的人在看活人的世界。|疏离/虚无|abstract|河边/死人看活人
31|narration|不对。更像是一个曾经活着的人，在看另一群还自以为活着的人。|冰冷/顿悟|abstract|自我认知断裂
32|narration|凌晨十二点半，出租车在佘山脚下最后一个可以掉头的路口把他放下。|冷清/启程|scene|出租车/佘山脚下/凌晨
33|司机|司机看了一眼导航，又看了一眼窗外漆黑的山林，说了句"小伙子大半夜爬山啊？"|疑惑/不安|character|司机/导航/漆黑山林
34|narration|祁思远没有回答，关上车门，然后尾灯消失在下坡公路的尽头。|沉默/决绝|scene|关车门/尾灯消失
35|narration|他深吸了一口气，开始沿着石阶往上走。|坚定/沉重|hand|深呼吸/石阶/往上走
36|narration|十一月的深夜山林有一种特殊的静。|静穆|scene|深夜山林/寂静
37|narration|不是真空的静，而是一种被无数细小声音填充的静——松针在风里摩擦，枯枝从高处脱落砸在石板上，远处有夜鸟发出一声短促的鸣叫。|细腻/沉浸|scene|松针/枯枝/夜鸟/细碎声响
38|narration|月光够亮，把石阶上的苔藓照出一层银绿色的微光。|清冷/美丽|scene|月光/苔藓/银绿微光
39|narration|走了一百多级台阶后，祁思远停了下来。|停顿/蓄势|scene|石阶/停步
40|narration|他调动了视觉回路。|专注/发动|supernatural|视觉回路开启
41|narration|这是他在过去一周里学会的——不是陈姝教的，是他自己摸索的。|成长/自主|supernatural|自学/视觉回路
42|narration|就像学会控制呼吸一样，他发现自己可以主动"睁开"那只看见命运线的眼睛。|掌控/觉醒|supernatural|睁开/命运线之眼
43|narration|世界在他面前褪去了一层皮：石阶不再是石阶，而是分布着微弱的命运线残影；每一棵树都有它自己的命图轮廓，像一层极淡的光晕包裹着树干；头顶的月光不再只是月光——它被一种他说不清的高维结构弯曲了，在佘山山顶的方向形成一个隐约的凹陷，像一块布被看不见的手指按下去。|震撼/超现实|supernatural|命运线残影/命图/高维结构/凹陷/月光弯曲
44|narration|陈姝没有骗他。这片区域确实"不一样"。|确认/信任|supernatural|区域异常
45|narration|他继续往上走。每一步都在离那个凹陷更近。|逼近/紧张|scene|往上走/靠近凹陷
46|narration|心脏开始跳得比爬山应有的频率更快——不全是体力的问题。|焦虑/预感|character|心跳加速
47|narration|他在想那个桥洞。在想房东那张溃烂的脸第一次从黑暗中浮现的瞬间。|恐惧/回忆|supernatural|桥洞/房东/溃烂的脸
48|narration|在想那二百三十多个被他"锁定"的面孔——有沈骏的，有那些他确认过罪业红光的，也有几个他没有来得及确认的。|沉重/质问|supernatural|二百三十人/罪业红光/沈骏
49|narration|如果陈姝说的都是真的，那么他杀死的那两百三十多人里，哪些是"有罪"的，哪些只是他视觉回路的误判，哪些——更可怕——是房东刻意引导他杀死的特定目标？|崩溃/怀疑|supernatural|误判/房东引导/道德拷问
50|narration|他在半山腰的一个平台上站住，手心全是汗。|恐惧/停止|scene|半山腰/手心出汗
51|narration|这个念头在过去一周里反复出现过，每一次都被他压下去了。|压抑/反复|abstract|念头/压抑
52|narration|但此刻，站在通往另一个世界的路上，它像一个从水底浮起的尸体，终于完整地展现在他面前。|窒息/直面|abstract|浮尸/完整展现
53|narration|他没有继续往下想。因为再想下去，他可能会转身下山。|悬崖勒马|abstract|不敢再想
54|narration|而他清楚：山下已经没有他的位置了。|决绝/无归|abstract|无路可退
55|narration|凌晨一点五十分，祁思远抵达山顶。|抵达/时间节点|scene|山顶/凌晨
