以下是第五章的漫画改编层，逐句拆分：

```
格号|角色/narration|台词或旁白文字|情绪|审核类型|场景关键词
1|narration|新公司叫"奥信商贸"，做进出口贸易的。|平实|scene|奥信商贸，外景/门头
2|narration|祁思远在运营部，负责整理单据、对接物流，工作枯燥繁琐，但他很珍惜。|平静/珍惜|scene|运营部办公室，工位
3|narration|同事们对他不错。|温和|scene|办公室全景，同事们
4|narration|部门主管姓周，是个四十多岁的中年女人，说话利落，做事干练，对下属也照顾。|干练/亲切|character|周姐，办公桌前
5|narration|坐他隔壁的是个叫林小燕的女孩，刚毕业没多久，总是笑眯眯的，偶尔会分他一点零食。|活泼/友善|character|林小燕，隔壁工位，递零食
6|祁思远|【旁白】祁思远努力扮演着一个正常人。|压抑/伪装|character|祁思远，工位，表情克制
7|narration|他学着和同事闲聊，学着在茶水间里抱怨天气，学着在聚餐时喝两杯啤酒。|勉强/融入|scene|茶水间/聚餐场景
8|narration|他以为自己可以就这么混下去，混成这城市里千千万万个普通人之一。|自欺/平静|abstract|城市夜景，万家灯火
9|narration|直到那天晚上。|转折/不详|scene|黄昏过渡，天色渐暗
10|narration|那晚公司加班，处理一批急单。|紧张/忙碌|scene|夜晚办公室，加班
11|narration|等所有事情忙完，已经快十点了。|疲惫|scene|办公室挂钟，近十点
12|narration|同事们陆续离开，最后只剩下祁思远和坐在角落里那个新来的实习生。|冷清/稀疏|scene|空荡办公室，两人
13|narration|实习生叫什么来着？|困惑|character|祁思远皱眉思考
14|祁思远|祁思远想了想，没想起来。|困惑/模糊|character|祁思远，表情茫然
15|narration|那是个很安静的男生，总是低着头，刘海遮住了大半张脸。|阴郁/沉默|character|实习生，低头，刘海遮脸
16|narration|来了快两周，祁思远几乎没听他说过话。|诡异/沉默|character|实习生，角落工位
17|narration|他去茶水间接了杯咖啡，回来的时候路过那个男生的工位，随口问了一句|随意|scene|祁思远端着咖啡，路过实习生工位
18|祁思远|还不走吗？最后一班地铁快没了。|随意/关心|character|祁思远，停在实习生旁
19|narration|男生没有抬头。|冷淡/诡异|character|实习生，低头不动
20|narration|他只是继续盯着电脑屏幕，手指在键盘上敲着什么。|专注/诡异|hand|手指敲键盘特写
21|narration|敲击声很轻，但在寂静的办公室里格外清晰。|紧张/不安|scene|空旷办公室，键盘声回荡
22|narration|祁思远等了两秒，正准备离开，突然听见一阵奇怪的声音。|迟疑/警觉|scene|祁思远转身欲走，顿住
23|narration|滋滋——|诡异/不安|supernatural|电流干扰声音效字
24|narration|像电流干扰的声音，从那个男生的方向传来。|诡异/压迫|supernatural|实习生方向，声波示意
25|祁思远|什么？|疑惑/警觉|character|祁思远，凑近一步
26|narration|祁思远以为自己听错了，凑近了一步。|疑惑/警觉|character|祁思远靠近实习生
27|narration|下一秒，他的血液凝固了。|恐惧/震惊|character|祁思远，瞳孔收缩
28|narration|他看到那个男生的身体，在日光灯下出现了瞬间的"闪烁"。|恐怖/诡异|supernatural|日光灯下，身体闪烁
29|narration|像是电视机信号不好时的画面——那具身体模糊了一下，边缘变得不清晰，露出了下面的东西。|扭曲/恐怖|supernatural|身体边缘模糊，画面抖动
30|narration|黑色的、像是烧焦的电路板一样的结构。|恐怖/诡异|supernatural|皮下黑色电路板特写
31|narration|密密麻麻的线条，扭曲的符文，和桥洞墙壁上一模一样的、活着的刻痕。|恐怖/压迫|supernatural|符文刻痕特写，蠕动着
32|narration|空气中弥漫起一股熟悉的、令人作呕的硫磺味。|恶心/恐惧|supernatural|硫磺味，空气扭曲
33|张明远|你在看哪里，祁前辈？|冰冷/诡异|supernatural|张明远，抬头，惨白脸
34|narration|男生抬起头来。|诡异/压迫|character|张明远，抬头动作
35|narration|那是一张惨白的脸，毫无血色。|恐怖|character|张明远，脸特写
36|narration|但最可怕的不是惨白，是眼睛——瞳孔是一片漆黑的深渊，没有眼白，没有虹膜，只有两个深不见底的黑洞。|极致恐怖|supernatural|眼睛特写，纯黑瞳孔深渊
37|narration|祁思远手里的咖啡洒了一地。|惊吓/失控|hand|咖啡杯落，液体洒地
38|narration|他踉跄着后退，撞翻了一把椅子，后背抵住墙壁，大口喘着气。|惊恐/失控|character|祁思远，后退撞墙，喘气
39|narration|他眨了眨眼，再看——|紧张/希望|character|祁思远眨眼，视线恢复
40|narration|男生正一脸疑惑地看着他。|疑惑/正常|character|张明远，正常表情，眼睛黑白分明
