格号|角色/narration|台词或旁白文字|情绪|审核类型|场景关键词
1|narration|失业的第三个月，祁思远学会了如何在人群中扮演一个正常人。|沉郁|abstract|城市街头/人群/日常
2|narration|每天早上七点五十分，他准时挤上开往市中心的地铁。|麻木|scene|地铁车厢/早高峰/拥挤
3|narration|背包里装着笔记本电脑——那是三年前买的，电池早已报废，插着充电器才能开机，但他从不打开。|无奈|scene|地铁/背包/旧电脑
4|narration|他只是需要那个重量，需要那个能让他看起来"有事可做"的道具。|自嘲|abstract|背包/重量/伪装
5|narration|他在CBD下车，混在西装革履的人潮里走进某栋写字楼的大堂，坐在休息区的沙发上刷手机。|疏离|scene|CBD写字楼大堂/西装人群/沙发
6|narration|保安换过两茬，没人问过他。|侥幸|scene|写字楼大堂/保安
7|narration|这座城市的玻璃大楼里，有太多像他这样的人——假装等面试，假装等客户，假装自己还属于这个世界。|苍凉|abstract|玻璃大楼/伪装者/都市
8|narration|中午，他去便利店买两个饭团，坐在街心公园的长椅上吃完。|平淡|scene|便利店/街心公园/长椅
9|narration|下午换个图书馆，继续刷招聘网站，投那些永远不会有回音的简历。|绝望|scene|图书馆/招聘网站/简历
10|narration|他知道自己在腐烂，只是腐烂得很安静。|沉痛|abstract|腐烂/安静/自我认知
11|narration|那天傍晚，他厌倦了。|疲惫|abstract|傍晚/厌倦
12|narration|厌倦了图书馆浑浊的空气，厌倦了手机屏幕上不断刷新的"已读不回"，厌倦了自己这副努力体面的皮囊。|崩溃边缘|abstract|图书馆/手机屏幕/皮囊
13|narration|他漫无目的地走，走进城市边缘一片待拆迁的老街区。|迷失|scene|老街区/待拆迁/城市边缘
14|narration|推土机已经来过，留下一地碎砖和裸露的钢筋。|荒凉|scene|推土机/碎砖/钢筋
15|narration|夕阳把一切都染成锈红色。|凄美|scene|夕阳/锈红色/废墟
16|narration|公园的入口藏在两堵危墙之间，铁门半开着，锈迹斑斑。|不安|scene|危墙/铁门/锈迹/公园入口
17|narration|祁思远不知道自己为什么要进去。|困惑|character|祁思远/犹豫
18|narration|也许是那扇门的样子——半开半掩，像某种邀请，又像某种警告。|诱惑/警觉|abstract|铁门/半开/邀请/警告
