以下是按原文逐句改编的漫画分镜表（共74格）：

```
格号|角色/narration|台词或旁白文字|情绪|审核类型|场景关键词

1|narration|第二章|—|abstract|章节标题，黑色背景

2|narration|逃出桥底的时候，祁思远看了一眼手机：13点34分。|紧张、仓促|scene|城市桥底，祁思远奔跑中看手机

3|narration|他必须在17点34分之前，杀一个人。|沉重、绝望|abstract|祁思远特写，手机屏幕时间与阴影笼罩

4|narration|接下来的三个小时，他像一只无头苍蝇一样在这座城市里乱撞。|焦躁、迷失|scene|城市街景，祁思远茫然奔走

5|narration|阳光很好，初冬的阳光干燥而温暖，照在脸上本该很舒服，但他只觉得刺眼。|不适、压抑|scene|阳光照射街道，祁思远抬头眯眼

6|narration|每一个看他的人，他都觉得是在审判他。|疑惧、被害感|character|街头路人看向祁思远，视线如审判

7|narration|他先是冲进了市第一医院。|急迫、慌乱|scene|市第一医院大门，祁思远冲入

8|narration|重症监护室外，他徘徊了二十分钟。|犹豫、挣扎|scene|ICU走廊，祁思远来回踱步

9|narration|他看着那些哭泣的家属，看着那些插着管子、靠机器维持生命的病人。|内心动摇|scene|ICU病房内，哭泣家属与插管病人

10|祁思远|这些人本来就想死吧？|自我麻醉、阴暗|character|祁思远内心独白，阴影斜打面部

11|祁思远|我帮他们一把，是不是反而算做好事？|扭曲合理化|character|祁思远望着病人，表情复杂

12|narration|但他走近一个戴着氧气面罩的老人时，老人的手突然动了动，枯瘦的手指攥住了床单。|紧张转折|hand|老人枯瘦的手攥紧床单，祁思远僵住

13|narration|老人睁开眼睛，浑浊的眼珠转过来，看着他。|对视冲击|character|老人浑浊眼睛与祁思远对视特写

14|narration|那眼神里没有求死，只有求生。|震撼、醒悟|character|老人眼神中强烈求生意志，祁思远被击中

15|narration|祁思远落荒而逃。|恐惧、羞愧|scene|祁思远跑出医院走廊

16|narration|他又想到了监狱。|思绪转向|abstract|祁思远脑海中浮现监狱意象

17|narration|但高墙铁网挡住了他的视线，他看不见里面的人。|无力、沮丧|scene|监狱高墙铁网，祁思远仰望

18|narration|如果盲选，可能会杀到一个无辜的人——一个被冤枉的、一个刑期将满的、一个看守。|道德挣扎|abstract|祁思远内心想象三种无辜者剪影

19|narration|这个赌注太大。|退缩、清醒|character|祁思远低头，额角渗汗

20|narration|时间的倒计时像催命符。|压迫、焦虑|abstract|抽象时针意象，阴影如锁链

21|narration|他坐在公园的长椅上，手机屏幕亮了又灭，灭了又亮。|疲惫、焦灼|hand|公园长椅，祁思远反复点亮手机屏幕

22|narration|16点02分。|时间紧迫|scene|手机屏幕特写：16:02

23|narration|16点17分。|时间流逝|scene|手机屏幕特写：16:17

24|narration|16点43分。|倒计时压迫|scene|手机屏幕特写：16:43，电量不足预警

25|narration|还剩不到一小时。|绝望、压迫|character|祁思远仰望天色渐暗，面容憔悴

26|narration|就在这时候，一个名字浮现在他脑海里。|灵光一闪|abstract|祁思远脑海中浮现模糊人形

27|narration|沈骏。|凝重、回忆开启|abstract|黑底白字浮现"沈骏"二字

28|narration|那是很多年前的事了。|回忆转入|abstract|画面泛黄转场，时间回溯

29|narration|祁思远七八岁的时候，家住的老小区里有一个比他大几岁的男孩，叫沈骏。|童年追忆|scene|老旧小区外景，记忆色调

30|narration|沈骏是那片的孩子王，或者说，恶霸。|厌恶、惧怕|character|少年沈骏的剪影，居高临下

31|narration|他带着一帮半大小子，欺负所有比他小的孩子。|压抑、愤怒|scene|一群少年围堵弱小，沈骏为首

32|narration|祁思远被他堵在楼道里打过，被抢过零花钱，被按在沙坑里灌过一嘴的沙子。|屈辱、痛苦|character|三个闪回：楼道挨打、抢钱、沙坑受辱

33|narration|但这些都不是重点。|语气转折|abstract|画面暗转

34|narration|重点是那年的夏天，沈骏带着一个叫小光的孩子去河边玩。|沉重、铺垫|scene|夏日河边，沈骏与小光背影

35|narration|小光比祁思远还小一岁，是个说话有点结巴的瘦小男孩，总是跟在他们屁股后面跑。|怜悯、柔软|character|小光瘦小身影，怯生生跟在后面

36|narration|那天下午，小光的妈妈找到小区里，问有没有人看见她儿子。|焦急、不安|character|小光妈妈在小区四处询问

37|narration|没人知道。|茫然、不详|scene|邻居们摇头，小区上空压抑

38|narration|后来警察来了，在河边的芦苇荡里找到了小光的尸体。|悲剧发生、寒冷|scene|芦苇荡中警察围聚，阴沉天空

39|narration|有人说是沈骏把小光推下水的。|怀疑、指控|abstract|沈骏被指认的意象

40|narration|但没人能证明。|无力、冤屈|abstract|黑暗中被掩盖的真相

41|narration|沈骏说小光是自己滑下去的，他想救没救上来。|虚伪、怀疑|character|少年沈骏辩解的表情

42|narration|他哭得很伤心。|表面悲伤、内心未知|character|沈骏流泪的面部特写

43|narration|他的父母给警察塞了钱，给那户人家塞了钱。|肮脏交易|hand|暗处递钱的剪影

44|narration|最后，事情不了了之。|无力、愤怒|abstract|档案合上，尘埃落定

45|narration|祁思远至今记得小光妈妈的眼睛。|深深刻印|character|小光妈妈眼睛特写，从记忆画面过渡

46|narration|那眼睛后来出现在他的噩梦里很多年。|创伤、恐惧|abstract|噩梦场景中浮现那双眼睛

47|narration|不是愤怒，不是仇恨，是一种彻底的空洞——那种失去了生命里唯一重要的东西之后，剩下的、再也没有什么可以失去的空洞。|极致悲伤、虚无|character|小光妈妈空洞眼神大特写，如深渊

48|narration|沈骏后来搬走了。|时空流转|scene|老小区，搬家的卡车远去

49|narration|但祁思远偶尔从老邻居嘴里听说他的消息——他在哪里混，在哪里发财，在哪里酒后吹嘘自己当年"摆平过一条人命"。|厌恶、执念积累|character|沈骏成年后酒桌吹嘘的侧面剪影

50|祁思远|如果一定要有一个人死……那就让这个人去填那个坑吧。|决意、阴暗正义感|character|祁思远回到公园长椅，眼神变得坚定

51|narration|他闭上眼睛，在心里呼唤那个存在。|专注、交托|character|祁思远闭眼，内心召唤

52|祁思远|我选好了。|决绝、平静|character|祁思远闭眼低语

53|神秘存在|哦？|愉悦、惊讶|supernatural|黑暗中浮现的声音波形或光晕

54|narration|那个声音立刻出现了，带着一种愉悦的惊讶|—|supernatural|神秘存在的能量波动

55|神秘存在|这么快？我还以为你会挣扎到最后一秒呢。|戏谑、玩味|supernatural|黑暗空间中声音回荡

56|神秘存在|看来，杀戮的欲望果然藏在每个人的基因里，只需要一点点刺激就能唤醒。|嘲讽、洞察|supernatural|抽象基因图谱与暗影结合

57|神秘存在|说吧，是谁？|期待、猎奇|supernatural|声音的低语，似近又远

58|祁思远|沈骏。我没有他的照片，但我记得他的样子。他在申市，大概三十出头，可能在做物流或者运输之类的——|冷静陈述、微微颤抖|character|祁思远对虚空描述，脑海中勾勒沈骏轮廓

59|神秘存在|不需要解释。|打断、权威|supernatural|声音切断了祁思远的叙述

60|神秘存在|只要你的脑海里能勾勒出他的轮廓，规则就已经锁定他了。|冷酷、规则至上|supernatural|抽象锁定意象，十字准星

